Message,Response
hi,Hello! How can I help you today?
hello,Hi there! 😊
how are you,"I’m doing great, thank you! How about you?"
i am not fine,I’m really sorry to hear that. Want to talk about it?
i am happy,That’s wonderful! What’s making you feel good? 😊
thank you,You're welcome!
bye,Goodbye! Take care!
hey buddy,Hey! Long time no see.
what's up,"Not much, just chilling. You?"
wanna hang out,Sure! Let's plan something fun.
miss you,"Aww, I miss you too!"
how was your day,Pretty good! Thanks for asking.
i love you,"I love you too, more than words can say! 💖"
do you miss me,Every second without you feels like forever.
good night babe,"Good night my love, sweet dreams! 😘"
you mean the world to me,And you are my everything 💕
i can't wait to see you,Me too! Counting the days!
i have a meeting,Got it. Best of luck with your meeting!
i am working remotely,Thanks for the update! Let me know if you need anything.
deadline is tomorrow,Let's make sure everything is ready by EOD.
can i take leave,"Sure, please drop a formal request via HR."
project is completed,Great job! Please update the status report.
